ticker,revenue,revenue_previous,revenue_growth_rate,operating_income,operating_margin,net_income,gross_profit,cost_of_revenue,sga,ordinary_income,pretax_income,tax_provision,total_assets,total_liabilities,total_debt,long_term_debt,short_term_debt,equity,invested_capital,roic,roic_using_total_assets,debt_to_equity_ratio,cash,beginning_cash_balance,operating_cash_flow,investing_cash_flow,financing_cash_flow,end_cash_value,debt_free_flag,net_cash_status,net_cash_flag,is_high_growth,market_cap,cap_size,dividend_yield,eps,bps,missing_critical,missing_items,roe,pbr,per,equity_ratio,score_growth,score_profit,score_value,score_safety,penalty,total_score,sector
2224,7111216000.0,7309694000.0,-2.7152709812476417,66184000.0,0.93,42638000.0,1852210000.0,5259005000.0,,66109000.0,66109000.0,23471000.0,4726075000.0,2686767000.0,1639853000.0,,,2039308000.0,3679161000.0,1.2592218715082053,False,0.8041222806952162,271448000.0,,30175000.0,-307384000.0,-109149000.0,,False,,False,False,127.34108672,小型,19.0,-10.63,577.058,False,[],-1.7770000000000001,6.3511815,298.6563317228763,43.15014044423756,0.0,0.0,0.0,7.71671348141252,-40.0,0.0,食品
8613,18848000000.0,18605000000.0,1.306100510615426,3548000000.0,18.82,3792000000.0,18800000000.0,49000000.0,2455000000.0,5325000000.0,5325000000.0,1533000000.0,73363000000.0,24357000000.0,2023000000.0,,,49006000000.0,51029000000.0,4.867036391071744,False,0.04128065951108027,34828000000.0,,-160000000.0,509000000.0,-5054000000.0,,False,実質無借金,True,False,700.30352384,中型,324.0,68.74,740.582,False,[],7.470000000000001,1.4272559,15.376782,66.79934026689203,2.612201021230852,14.940000000000001,6.519525,10.0,0.0,34.07172602123085,金融（除く銀行）
6184,7061312000.0,5859844000.0,20.503412718836884,910917000.0,12.9,687402000.0,3924227000.0,3137085000.0,,993045000.0,993045000.0,298592000.0,5384184000.0,1615609000.0,67378000.0,,,3689823000.0,3757201000.0,16.97119478036975,False,0.018260496506200975,2085473000.0,,597784000.0,-350393000.0,-155716000.0,,False,実質無借金,True,True,226.53114368,小型,327.0,22.73,95.991,False,[],27.223999999999997,6.36518,26.880775,68.5307745797692,40.0,30.0,0.77980625,10.0,0.0,80.77980625000001,情報通信・サービスその他
6058,59254000000.0,59212000000.0,0.07093156792542052,8029000000.0,13.55,4195000000.0,39308000000.0,19946000000.0,,7290000000.0,7290000000.0,2490000000.0,42881000000.0,21547000000.0,11273000000.0,,,17083000000.0,28356000000.0,19.820496543941317,False,0.6598958028449335,17125000000.0,,5675000000.0,-1478000000.0,-2901000000.0,,False,実質無借金,True,False,717.16888576,中型,216.0,105.35,423.713,False,[],30.038999999999998,3.6085746,14.513527,39.83815675940393,0.14186313585084104,30.0,3.87161825,6.61271891980131,0.0,40.62620030565215,情報通信・サービスその他
9344,5271000000.0,4082000000.0,29.127878490935817,211000000.0,4.0,321000000.0,2857000000.0,2414000000.0,,392000000.0,392000000.0,70000000.0,4515000000.0,1191000000.0,366000000.0,,,3324000000.0,3690000000.0,4.002710027100271,False,0.11010830324909747,2999000000.0,,-183000000.0,-139000000.0,298000000.0,,False,実質無借金,True,True,45.65382144,小型,379.0,93.13,634.346,False,[],17.247999,1.451889,9.889402,73.62126245847176,40.0,30.0,7.7405550000000005,10.0,0.0,87.740555,情報通信・サービスその他
4218,49457000000.0,46859000000.0,5.544292451823556,2587000000.0,5.23,1959000000.0,14902000000.0,34555000000.0,,2628000000.0,2628000000.0,668000000.0,67603000000.0,24417000000.0,2135000000.0,,,43186000000.0,45321000000.0,3.9957194236667326,False,0.04943731764923818,14663000000.0,,3690000000.0,-1695000000.0,-763000000.0,,False,実質無借金,True,False,399.2100864,小型,204.0,88.64,2115.881,False,[],4.2529996,0.92680067,22.123196,63.8817803943612,11.088584903647112,8.5059992,6.969201,10.0,0.0,36.56378510364711,素材・化学
9663,35294000000.0,32576000000.0,8.343565815324165,4300000000.0,12.18,4213000000.0,13824000000.0,21470000000.0,2604000000.0,6240000000.0,6240000000.0,2027000000.0,69758000000.0,8088000000.0,587000000.0,,,61670000000.0,62257000000.0,4.834797693432064,False,0.009518404410572402,11433000000.0,,4386000000.0,1413000000.0,-1533000000.0,,False,実質無借金,True,False,961.01761024,中型,99.0,253.5,3831.941,False,[],5.587000000000001,1.6049308,24.260355,88.40563089538117,16.68713163064833,11.174000000000001,3.41025725,10.0,0.0,41.27138888064833,情報通信・サービスその他
6875,42326428000.0,57942966000.0,-26.95156820242857,2190013000.0,5.17,5371919000.0,7826311000.0,34500117000.0,,8067410000.0,8067410000.0,2675195000.0,149940875000.0,31699475000.0,0.0,,,117805380000.0,117805380000.0,1.3013065277663889,False,0.0,20830306000.0,,-3726615000.0,3590589000.0,-7511825000.0,,True,実質無借金,True,False,1316.98540544,中型,294.0,158.95,10490.265,False,[],1.8110000000000002,0.8102751,53.475937,78.56788884285223,0.0,3.6220000000000003,5.0,10.0,-40.0,0.0,電機・精密
6258,88483792000.0,82839457000.0,6.813582807526128,6898152000.0,7.8,4778142000.0,18962488000.0,69521303000.0,,6904886000.0,6904886000.0,2175721000.0,130278558000.0,61439291000.0,34166854000.0,,,68611730000.0,102778584000.0,4.69816396769973,False,0.4979739470204293,12882428000.0,,9427955000.0,-2023079000.0,-5591004000.0,,False,,False,False,815.87003392,中型,244.0,208.86,2302.964,False,[],9.268,1.1567701,12.754955,52.66540484735792,13.627165615052256,18.536,8.52741075,10.0,0.0,50.69057636505226,機械
3543,47057000000.0,43236000000.0,8.83754278841706,8820000000.0,18.74,5814000000.0,15680000000.0,31377000000.0,32000000.0,8612000000.0,8612000000.0,2798000000.0,105739000000.0,60121000000.0,43983000000.0,,,45618000000.0,89601000000.0,6.890548096561422,False,0.9641588846507957,10390000000.0,,11235000000.0,642000000.0,-9505000000.0,,False,,False,False,1322.1011456,中型,206.99999999999997,131.89,1056.395,False,[],13.278,2.7499182,22.02593,43.142076244337474,17.67508557683412,26.556,1.9935175,7.714025414779158,0.0,53.93862849161328,商社・卸売
