rank,ticker,sector,value_rank_score,score_value,score_safety,score_profit,penalty,total_score,debt_free_flag,net_cash_flag,net_cash_status,is_high_growth,debt_to_equity_ratio,market_cap,cap_size,dividend_yield,eps,bps,revenue,revenue_growth_rate,operating_income,operating_margin,net_income,gross_profit,cost_of_revenue,sga,ordinary_income,pretax_income,tax_provision,roe,pbr,per,equity_ratio,roic,roic_using_total_assets,invested_capital,total_assets,total_liabilities,equity,total_debt,cash,beginning_cash_balance,operating_cash_flow,investing_cash_flow,financing_cash_flow,end_cash_value,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,score_growth
2442,8542,銀行,14.37469875,8.078698750000001,0.0,6.296,0.0,22.919700862775247,False,True,実質無借金,False,0.7157715717866093,185.73381632,小型,315.0,90.98,4951.214,22209000000.0,4.272501056387624,2569000000.0,11.57,1817000000.0,,,7489000000.0,2569000000.0,2569000000.0,751000000.0,3.148,0.3249708,17.685205,4.095229856322387,1.8762976951890071,False,95843000000.0,1364026000000.0,1308166000000.0,55860000000.0,39983000000.0,108834000000.0,,8640000000.0,-1210000000.0,-845000000.0,,False,[],21299000000.0,,,8.545002112775247
2443,4208,素材・化学,14.327077462632946,5.0,8.547077462632947,0.7799999999999999,0.0,22.256822442205255,False,False,,False,0.8365839707214846,2646.09644544,中型,404.0,59.11,4186.829,486802000000.0,3.9648724897861554,18045000000.0,3.71,-4816000000.0,90933000000.0,395869000000.0,,-10890000000.0,-10890000000.0,-1675000000.0,0.38999999999999996,0.6506117,46.083572,45.64123238789884,1.740744007342504,False,725638000000.0,865669000000.0,453656000000.0,395102000000.0,330536000000.0,115969000000.0,,35837000000.0,-63152000000.0,105851000000.0,,False,[],468237000000.0,,,7.929744979572311
2444,7060,情報通信・サービスその他,14.209766326809227,2.622146,6.179620326809226,5.408,0.0,26.194794866392588,False,True,実質無借金,False,0.7529751559001394,52.11704832,小型,394.0,22.21,281.762,25162448000.0,5.992514269791681,495540000.0,1.97,49795000.0,3571333000.0,21591114000.0,,-39253000.0,-39253000.0,80127000.0,2.704,1.8206856,23.097704,38.53886098042768,6.9621880439867985,False,4982313000.0,7374904000.0,4503758000.0,2842204000.0,2140109000.0,3606612000.0,,46813000.0,-418942000.0,226952000.0,,False,[],23739835000.0,,,11.985028539583363
2445,4819,情報通信・サービスその他,14.200584522044322,2.1827050000000003,4.439879122044322,7.5780004,0.0,16.593990767091082,False,False,,False,0.817216277497116,1177.2194816,中型,183.0,67.72,1640.593,38307000000.0,1.1967031225233793,3716000000.0,9.7,-7190000000.0,25359000000.0,12948000000.0,,-10216000000.0,-10216000000.0,-2740000000.0,3.7890002,1.563459,37.87655,33.319637366132966,1.898007282066998,False,137049000000.0,226344000000.0,148649000000.0,75417000000.0,61632000000.0,56354000000.0,,31726000000.0,-10003000000.0,-14914000000.0,,False,[],37854000000.0,,,2.3934062450467586
2446,4937,素材・化学,14.16,0.0,10.0,4.16,0.0,15.960757845512308,False,True,実質無借金,False,0.3494979320144059,49.35225856,小型,,12.19,593.588,1960902000.0,0.9003789227561537,150941000.0,7.7,44090000.0,1559107000.0,401795000.0,,152398000.0,152398000.0,108307000.0,2.08,2.3602228,114.930275,65.38111206552712,3.7432103436597046,False,2822676000.0,3199164000.0,1107515000.0,2091649000.0,731027000.0,1302301000.0,,136344000.0,-188950000.0,-150424000.0,,False,[],1943404000.0,,,1.8007578455123074
2447,7893,情報通信・サービスその他,14.1270345,4.1270345,10.0,0.0,0.0,19.962094639609,False,True,実質無借金,False,0.10853155825318861,291.79168768,小型,311.0,-23.69,985.022,30995936000.0,2.9175300698045,208859000.0,0.67,450961000.0,11182252000.0,19813684000.0,2539364000.0,1681583000.0,1681583000.0,1224380000.0,-2.2800000000000002,1.1745931,64.70441738420838,64.57838572892317,0.5282661044211651,False,27675692000.0,38660124000.0,13640236000.0,24966084000.0,2709608000.0,12309317000.0,,4286172000.0,597426000.0,-2013770000.0,,False,[],30117256000.0,,,5.835060139609
2448,3550,小売,14.117808499999999,4.1178085,10.0,0.0,0.0,42.1722989454767,False,True,実質無借金,False,0.07929376987231743,29.78223872,小型,233.0,6.71,182.755,3696135000.0,14.02724522273835,182595000.0,4.94,68447000.0,2465670000.0,1230465000.0,1133112000.0,159027000.0,159027000.0,90580000.0,-8.412,1.1764383,32.04173,78.86938414376895,4.7346160585001495,False,2699617000.0,3171422000.0,670141000.0,2501281000.0,198336000.0,1832953000.0,,356031000.0,-13170000.0,-430719000.0,,False,[],3241449000.0,,,28.0544904454767
2449,4286,情報通信・サービスその他,14.114353914826482,2.320093,4.304260914826483,7.489999999999999,0.0,24.78234928213037,False,False,,False,1.0690879760102832,114.84537856,小型,150.0,19.69,696.623,38282882000.0,5.333997683651944,305335000.0,0.8,164436000.0,11268460000.0,27014421000.0,345707000.0,280399000.0,280399000.0,302698000.0,3.7449999999999997,1.5359814,54.342304,32.91278274447945,1.4167759900469157,False,15085977000.0,22152864000.0,14739859000.0,7291124000.0,7794853000.0,4756730000.0,,1064524000.0,-7125000.0,-1501894000.0,,False,[],36344279000.0,,,10.667995367303888
2450,7514,小売,14.034143902462477,5.0,9.034143902462477,0.0,0.0,20.648171794176996,False,False,,False,0.2965888909302468,108.03204096,小型,296.0,0.88,1293.211,60447000000.0,3.30701394585726,286000000.0,0.47,11000000.0,21202000000.0,39245000000.0,,101000000.0,101000000.0,90000000.0,-0.27,0.6797034,998.86365,47.102431707387424,0.9455885131305498,False,21172000000.0,34667000000.0,18338000000.0,16329000000.0,4843000000.0,3691000000.0,,416000000.0,-216000000.0,-630000000.0,,False,[],58512000000.0,,,6.61402789171452
2451,3877,素材・化学,13.889964557626675,5.0,8.889964557626675,0.0,0.0,19.79392093178504,False,False,,False,0.6538454777182033,254.32653824,小型,494.00000000000006,57.08,4628.85,111009000000.0,2.9519781870791832,4848000000.0,4.37,1761000000.0,17098000000.0,93910000000.0,1588000000.0,1840000000.0,1840000000.0,1023000000.0,-0.43499999999999994,0.43725762,35.459003,46.66989367288002,3.6071811987797493,False,94079000000.0,121888000000.0,65948000000.0,56885000000.0,37194000000.0,9005000000.0,,10360000000.0,-6013000000.0,-6012000000.0,,False,[],107826000000.0,,,5.9039563741583665
