rank,ticker,growth_rank_score,score_growth,score_profit,penalty,total_score,debt_free_flag,net_cash_status,debt_to_equity_ratio,revenue,revenue_growth_rate,operating_income,net_income,roe,pbr,per,equity_ratio,roic,roic_using_total_assets,invested_capital,total_assets,equity,total_debt,cash,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,is_debt_free,score_value,score_safety
1693,5482,12.709039107501788,1.8690391075017874,10.84,0.0,29.98078335750179,False,,0.27839145281456956,299287000000.0,0.9345195537508937,12018000000.0,7820000000.0,5.42,1.0017871,20.877281,57.97486895813909,2.8372540092072644,False,296505000000.0,400063000000.0,231936000000.0,64569000000.0,36275000000.0,False,[],296516000000.0,,,False,7.27174425,10.0
1694,3435,12.69725080287758,1.0232512028775789,11.6739996,0.0,32.622604552877576,False,実質無借金,0.19059542648565336,21250387000.0,0.5116256014387894,1282167000.0,1122961000.0,5.8369998,0.59171194,10.298585,69.41521241369189,4.0890322511277315,False,21949372000.0,26558481000.0,18435626000.0,3513746000.0,4002056000.0,False,[],21142218000.0,,,False,9.92535375,10.0
1695,4436,12.67736453622572,12.67736453622572,0.0,-40.0,0.0,False,,25.652116157836247,10548910000.0,6.33868226811286,-1911249000.0,-5525955000.0,-157.51401,8.172725,8.128249,3.09193582657134,-16.263676964762006,False,8226149000.0,9982387000.0,308649000.0,7917500000.0,542610000.0,False,[],9920106000.0,,,False,5.0,0.0
1696,2907,12.660590014967084,3.2045896149670843,9.4560004,0.0,31.951289764967086,False,,0.19430461284964656,51045379000.0,1.6022948074835421,1964453000.0,1548947000.0,4.7280002,0.5987226,12.837201,64.64942520787055,6.621488207555915,False,20767493000.0,26897028000.0,17388774000.0,3378719000.0,2275586000.0,False,[],50240380000.0,,,False,9.29069975,10.0
1697,6523,12.613555806725063,4.3475558067250635,8.266,0.0,21.389982685615806,False,,1.8021872506866046,361593000000.0,2.1737779033625317,22952000000.0,10485000000.0,4.133,0.9350785,23.693989,26.599772386672228,4.047981980302294,False,396899000000.0,532482000000.0,141639000000.0,255260000000.0,39592000000.0,False,[],353900000000.0,,,False,6.57650275,2.1999241288907427
1698,2501,12.55601271268712,4.685788767372626,7.8702239453144935,0.0,15.715957952748099,False,,1.2068764984951283,530783000000.0,2.342894383686313,10416000000.0,7714000000.0,3.9351119726572468,3.1861749,192.2815,29.47983572018293,1.6853823500857579,False,432614000000.0,664963000000.0,196030000000.0,236584000000.0,24140000000.0,False,[],518632000000.0,,,False,0.0,3.159945240060977
1699,2877,12.499241786464733,5.857241386464733,6.642000400000001,0.0,27.2363036992458,False,,0.6779521618483919,55860401000.0,2.9286206932323666,574435000.0,384736000.0,3.3210002000000003,0.56197065,18.117533,40.299335488343196,1.4908635852098346,False,26971247000.0,39886283000.0,16073907000.0,10897340000.0,3500280000.0,False,[],54271009000.0,,,False,7.97061675,6.766445162781065
1700,5616,12.47066178646067,12.47066178646067,0.0,-40.0,0.0,False,実質無借金,0.8382714265067206,1016159000.0,6.235330893230335,-161330000.0,-163866000.0,-13.99,7.9083586,-14.195137978592264,33.17141553106866,-17.757842597688498,False,635950000.0,1042916000.0,345950000.0,290000000.0,543391000.0,False,[],956517000.0,,,False,5.0,4.390471843689554
1701,6810,12.360995454510258,1.0329954545102564,11.328000000000001,0.0,28.909612204510257,False,実質無借金,0.2061824072857831,129806000000.0,0.5164977272551282,9318000000.0,4090000000.0,5.664000000000001,1.0000564,23.804405,55.5308362814107,5.919304486714099,False,110192000000.0,164514000000.0,91356000000.0,18836000000.0,33072000000.0,False,[],129139000000.0,,,False,6.54861675,10.0
1702,5951,12.359860876955057,2.561860876955058,9.798,0.0,31.61731412695506,False,実質無借金,0.00014695800333250358,19902665000.0,1.280930438477529,1381528000.0,1161135000.0,4.899,0.53467584,12.970187,87.55751220064504,3.460733928400743,False,27944061000.0,31910403000.0,27939955000.0,4106000.0,6568324000.0,False,[],19650950000.0,,,False,9.257453250000001,10.0
