,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,301345000000.0,344074000000.0,295798000000.0,21688000000.0
Repurchase Of Capital Stock,-1507000000.0,-57000000.0,-39000000.0,-39000000.0
Repayment Of Debt,-714124000000.0,-640072000000.0,-694793000000.0,-884058000000.0
Issuance Of Debt,743801000000.0,778804000000.0,819837000000.0,1206229000000.0
End Cash Position,292467000000.0,418518000000.0,373484000000.0,201156000000.0
Other Cash Adjustment Outside Changein Cash,-7380000000.0,,,1000000.0
Beginning Cash Position,418518000000.0,373484000000.0,201156000000.0,174909000000.0
Effect Of Exchange Rate Changes,-600000000.0,2206000000.0,210000000.0,176000000.0
Changes In Cash,-118071000000.0,42828000000.0,172118000000.0,26070000000.0
Financing Cash Flow,-27649000000.0,87084000000.0,73248000000.0,266403000000.0
Net Other Financing Charges,-5235000000.0,-8712000000.0,-9718000000.0,-14048000000.0
Cash Dividends Paid,-45335000000.0,-37795000000.0,-37807000000.0,-37758000000.0
Net Common Stock Issuance,-1507000000.0,-57000000.0,-39000000.0,-39000000.0
Common Stock Payments,-1507000000.0,-57000000.0,-39000000.0,-39000000.0
Net Issuance Payments Of Debt,29677000000.0,138732000000.0,125044000000.0,322171000000.0
Net Short Term Debt Issuance,-52784000000.0,31505000000.0,-63518000000.0,68433000000.0
Short Term Debt Payments,-408112000000.0,-400139000000.0,-420759000000.0,-637591000000.0
Short Term Debt Issuance,355328000000.0,431644000000.0,357241000000.0,706024000000.0
Net Long Term Debt Issuance,82461000000.0,107227000000.0,188562000000.0,253738000000.0
Long Term Debt Payments,-306012000000.0,-239933000000.0,-274034000000.0,-246467000000.0
Long Term Debt Issuance,388473000000.0,347160000000.0,462596000000.0,500205000000.0
Investing Cash Flow,-391767000000.0,-388330000000.0,-196928000000.0,-262021000000.0
Net Other Investing Changes,-271600000000.0,-237605000000.0,-228452000000.0,-207080000000.0
Net Business Purchase And Sale,-49269000000.0,-40760000000.0,0.0,-2222000000.0
Sale Of Business,2427000000.0,380000000.0,0.0,22353000000.0
Purchase Of Business,-51696000000.0,-41140000000.0,0.0,-24575000000.0
Operating Cash Flow,301345000000.0,344074000000.0,295798000000.0,21688000000.0
Taxes Refund Paid,-91750000000.0,-24066000000.0,10403000000.0,-69320000000.0
Interest Received Cfo,13839000000.0,12006000000.0,33216000000.0,25550000000.0
Interest Paid Cfo,-22671000000.0,-20727000000.0,-19812000000.0,-19208000000.0
Change In Working Capital,-128967000000.0,-104989000000.0,16539000000.0,2425000000.0
Change In Other Current Liabilities,-284724000000.0,3584000000.0,,
Change In Other Current Assets,908000000.0,-2126000000.0,-5236000000.0,-5674000000.0
Change In Payable,223606000000.0,-57460000000.0,48207000000.0,84243000000.0
Change In Inventory,-43812000000.0,-57612000000.0,-5654000000.0,-27866000000.0
Change In Receivables,-25447000000.0,12468000000.0,-20463000000.0,-27921000000.0
Other Non Cash Items,139996000000.0,10140000000.0,39962000000.0,-63120000000.0
Depreciation And Amortization,170881000000.0,172046000000.0,155927000000.0,189154000000.0
Depreciation,170881000000.0,172046000000.0,155927000000.0,189154000000.0
Gain Loss On Investment Securities,11659000000.0,-2675000000.0,-36651000000.0,6126000000.0
Net Income From Continuing Operations,269496000000.0,506019000000.0,68991000000.0,-44473000000.0
