,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,395180000000.0,375424000000.0,263283000000.0,265314000000.0,
Capital Expenditure,-14342000000.0,-12492000000.0,-39345000000.0,-6162000000.0,
End Cash Position,451715000000.0,406065000000.0,344002000000.0,396165000000.0,
Other Cash Adjustment Outside Changein Cash,1000000.0,-1000000.0,-2000000.0,-2000000.0,
Beginning Cash Position,406065000000.0,344002000000.0,396165000000.0,189875000000.0,
Effect Of Exchange Rate Changes,169000000.0,-6754000000.0,-7636000000.0,-4233000000.0,
Changes In Cash,45480000000.0,68818000000.0,-44525000000.0,210525000000.0,
Financing Cash Flow,-83430000000.0,-76306000000.0,-63666000000.0,-49817000000.0,
Net Other Financing Charges,-4591000000.0,-3526000000.0,-3025000000.0,-1290000000.0,
Cash Dividends Paid,-78820000000.0,-72757000000.0,-60631000000.0,-48505000000.0,
Net Common Stock Issuance,-19000000.0,-23000000.0,-10000000.0,-22000000.0,
Investing Cash Flow,-280612000000.0,-242792000000.0,-283487000000.0,-11134000000.0,
Net Other Investing Changes,-17731000000.0,-19036000000.0,-14168000000.0,131518000000.0,
Net Investment Purchase And Sale,-248539000000.0,-211264000000.0,-229974000000.0,-136490000000.0,
Net PPE Purchase And Sale,-14342000000.0,-12492000000.0,-39345000000.0,-6162000000.0,
Purchase Of PPE,-14342000000.0,-12492000000.0,-39345000000.0,-6162000000.0,
Operating Cash Flow,409522000000.0,387916000000.0,302628000000.0,271476000000.0,
Taxes Refund Paid,-148699000000.0,-155798000000.0,-156884000000.0,-97210000000.0,
Interest Received Cfo,8472000000.0,5606000000.0,2490000000.0,1804000000.0,
Change In Working Capital,-16627000000.0,11831000000.0,-57707000000.0,-71249000000.0,
Change In Payable,1160000000.0,-4643000000.0,2358000000.0,5334000000.0,
Change In Inventory,-756000000.0,11280000000.0,-23961000000.0,-26257000000.0,
Change In Receivables,-18571000000.0,4709000000.0,-36742000000.0,-53099000000.0,
Other Non Cash Items,-4605000000.0,-951000000.0,-3859000000.0,3335000000.0,
Depreciation And Amortization,15193000000.0,13767000000.0,11523000000.0,8621000000.0,
Depreciation,15193000000.0,13767000000.0,11523000000.0,8621000000.0,
Gain Loss On Investment Securities,,,,,-838000000.0
Net Foreign Currency Exchange Gain Loss,88000000.0,-462000000.0,-140000000.0,-82000000.0,
Net Income From Continuing Operations,561010000000.0,519295000000.0,512830000000.0,431240000000.0,
