,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,1274057000000.0,826838000000.0,1475184000000.0,662011000000.0
Repayment Of Debt,-479122000000.0,-614361000000.0,-772621000000.0,-865450000000.0
Issuance Of Debt,456045000000.0,430656000000.0,214020000000.0,864567000000.0
Capital Expenditure,-384292000000.0,-520542000000.0,-454954000000.0,-393833000000.0
End Cash Position,1536624000000.0,1251550000000.0,1556999000000.0,1555570000000.0
Other Cash Adjustment Outside Changein Cash,408756000000.0,-408756000000.0,,
Beginning Cash Position,1251550000000.0,1556999000000.0,1555570000000.0,1317824000000.0
Effect Of Exchange Rate Changes,22617000000.0,47921000000.0,15395000000.0,42848000000.0
Changes In Cash,-146299000000.0,55386000000.0,-13966000000.0,194898000000.0
Financing Cash Flow,-1530703000000.0,-1086233000000.0,-1766638000000.0,-693396000000.0
Net Other Financing Charges,-4104000000.0,376000000.0,11894000000.0,4640000000.0
Cash Dividends Paid,-342247000000.0,-293433000000.0,-228829000000.0,-203737000000.0
Common Stock Dividend Paid,-342247000000.0,-293433000000.0,-228829000000.0,-203737000000.0
Net Common Stock Issuance,-395012000000.0,-445027000000.0,-217107000000.0,-13000000.0
Net Issuance Payments Of Debt,-518450000000.0,36708000000.0,-967302000000.0,-160455000000.0
Net Short Term Debt Issuance,-495373000000.0,220413000000.0,-408701000000.0,-159572000000.0
Net Long Term Debt Issuance,-23077000000.0,-183705000000.0,-558601000000.0,-883000000.0
Long Term Debt Payments,-479122000000.0,-614361000000.0,-772621000000.0,-865450000000.0
Long Term Debt Issuance,456045000000.0,430656000000.0,214020000000.0,864567000000.0
Investing Cash Flow,-273945000000.0,-205761000000.0,-177466000000.0,-167550000000.0
Net Investment Purchase And Sale,-38614000000.0,77315000000.0,116903000000.0,122077000000.0
Sale Of Investment,286534000000.0,143798000000.0,179328000000.0,149067000000.0
Purchase Of Investment,-325148000000.0,-66483000000.0,-62425000000.0,-26990000000.0
Net Investment Properties Purchase And Sale,-1076000000.0,64442000000.0,-216000000.0,886000000.0
Sale Of Investment Properties,209000000.0,65738000000.0,395000000.0,1329000000.0
Purchase Of Investment Properties,-1285000000.0,-1296000000.0,-611000000.0,-443000000.0
Net Business Purchase And Sale,-317900000000.0,65452000000.0,250732000000.0,97576000000.0
Sale Of Business,254754000000.0,349160000000.0,457491000000.0,299733000000.0
Purchase Of Business,-572654000000.0,-283708000000.0,-206759000000.0,-202157000000.0
Net PPE Purchase And Sale,-178553000000.0,-494443000000.0,-434678000000.0,-365945000000.0
Sale Of PPE,205739000000.0,26099000000.0,20276000000.0,27888000000.0
Purchase Of PPE,-384292000000.0,-520542000000.0,-454954000000.0,-393833000000.0
Operating Cash Flow,1658349000000.0,1347380000000.0,1930138000000.0,1055844000000.0
Taxes Refund Paid,-146416000000.0,-473635000000.0,-339540000000.0,-156939000000.0
Interest Received Cfo,200179000000.0,187571000000.0,121653000000.0,80601000000.0
Interest Paid Cfo,-167261000000.0,-212823000000.0,-134224000000.0,-64444000000.0
Dividend Received Cfo,635565000000.0,485252000000.0,489353000000.0,493860000000.0
Change In Working Capital,125121000000.0,42382000000.0,255846000000.0,-549921000000.0
Change In Other Current Assets,67045000000.0,39779000000.0,197674000000.0,-36149000000.0
Change In Payable,-5889000000.0,-8490000000.0,-108217000000.0,396298000000.0
Change In Inventory,-37933000000.0,-71555000000.0,-12929000000.0,-236396000000.0
Change In Receivables,101898000000.0,82648000000.0,179318000000.0,-673674000000.0
Other Non Cash Items,-171977000000.0,-114264000000.0,-88265000000.0,-139850000000.0
Deferred Tax,317179000000.0,337736000000.0,409132000000.0,288657000000.0
Depreciation And Amortization,470768000000.0,599330000000.0,583294000000.0,545043000000.0
Depreciation,470768000000.0,599330000000.0,583294000000.0,545043000000.0
Gain Loss On Investment Securities,-305629000000.0,-233007000000.0,-197005000000.0,-75254000000.0
Gain Loss On Sale Of PPE,-130702000000.0,-7659000000.0,31910000000.0,57805000000.0
Net Income From Continuing Operations,1076246000000.0,1024858000000.0,1271499000000.0,1004459000000.0
