,2025-06-30,2024-12-31,2024-06-30
Diluted Average Shares,1452859202.0,1482740881.0,1564628051.0
Basic Average Shares,1440228653.0,1482740881.0,1539728009.0
Diluted EPS,83.24,,68.02
Basic EPS,83.97,,69.12
