,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,439097000000.0,377705000000.0,488646000000.0,355972000000.0,
Repurchase Of Capital Stock,-193988000000.0,-107742000000.0,-206788000000.0,-5954000000.0,
Repayment Of Debt,-12637000000.0,-5109000000.0,-6029000000.0,-3041000000.0,
Issuance Of Debt,1223000000.0,23000000.0,5000000000.0,4677000000.0,
Issuance Of Capital Stock,2471000000.0,6621000000.0,2811000000.0,2634000000.0,
Capital Expenditure,-442837000000.0,-377478000000.0,-299367000000.0,-197556000000.0,
End Cash Position,882736000000.0,590135000000.0,1247344000000.0,1008925000000.0,
Other Cash Adjustment Outside Changein Cash,,-1000000.0,-1000000.0,65000000.0,-2000000.0
Beginning Cash Position,590135000000.0,1247344000000.0,1008925000000.0,801596000000.0,
Effect Of Exchange Rate Changes,8125000000.0,56283000000.0,60454000000.0,29963000000.0,
Changes In Cash,284476000000.0,-713491000000.0,177966000000.0,177301000000.0,
Financing Cash Flow,-454905000000.0,-369466000000.0,-423559000000.0,-122504000000.0,
Net Other Financing Charges,-50093000000.0,-50486000000.0,-21667000000.0,761000000.0,
Cash Dividends Paid,-204724000000.0,-211242000000.0,-195365000000.0,-120481000000.0,
Common Stock Dividend Paid,-204724000000.0,-211242000000.0,-195365000000.0,-120481000000.0,
Net Common Stock Issuance,-191517000000.0,-101121000000.0,-203977000000.0,-3320000000.0,
Common Stock Payments,-193988000000.0,-107742000000.0,-206788000000.0,-5954000000.0,
Common Stock Issuance,2471000000.0,6621000000.0,2811000000.0,2634000000.0,
Net Issuance Payments Of Debt,-8571000000.0,-6617000000.0,-2550000000.0,536000000.0,
Net Short Term Debt Issuance,2843000000.0,-1531000000.0,-1521000000.0,-1100000000.0,
Net Long Term Debt Issuance,-11414000000.0,-5086000000.0,-1029000000.0,1636000000.0,
Long Term Debt Payments,-12637000000.0,-5109000000.0,-6029000000.0,-3041000000.0,
Long Term Debt Issuance,1223000000.0,23000000.0,5000000000.0,4677000000.0,
Investing Cash Flow,-142553000000.0,-1099208000000.0,-186488000000.0,-253723000000.0,
Net Other Investing Changes,334131000000.0,-783092000000.0,10297000000.0,-41099000000.0,
Net Investment Purchase And Sale,13491000000.0,60000000000.0,102458000000.0,-14112000000.0,
Sale Of Investment,23557000000.0,62646000000.0,116490000000.0,56987000000.0,
Purchase Of Investment,-10066000000.0,-2646000000.0,-14032000000.0,-71099000000.0,
Net Business Purchase And Sale,-47232000000.0,,0.0,-3552000000.0,0.0
Purchase Of Business,-47232000000.0,,0.0,-3552000000.0,0.0
Net Intangibles Purchase And Sale,-3364000000.0,-3061000000.0,-3850000000.0,-1781000000.0,
Purchase Of Intangibles,-3364000000.0,-3061000000.0,-3850000000.0,-1781000000.0,
Net PPE Purchase And Sale,-439381000000.0,-372872000000.0,-295241000000.0,-193430000000.0,
Sale Of PPE,92000000.0,1545000000.0,276000000.0,2345000000.0,
Purchase Of PPE,-439473000000.0,-374417000000.0,-295517000000.0,-195775000000.0,
Operating Cash Flow,881934000000.0,755183000000.0,788013000000.0,553528000000.0,
Taxes Refund Paid,-187020000000.0,-208939000000.0,-266937000000.0,-147448000000.0,
Interest Received Cfo,96942000000.0,64873000000.0,23220000000.0,6984000000.0,
Interest Paid Cfo,-1154000000.0,-1298000000.0,-1234000000.0,-816000000.0,
Change In Working Capital,4541000000.0,-26418000000.0,-177869000000.0,-138538000000.0,
Change In Other Current Assets,,,,,2860000000.0
Change In Payable,-12427000000.0,-28776000000.0,-1702000000.0,47436000000.0,
Change In Prepaid Assets,3341000000.0,2818000000.0,2899000000.0,-3951000000.0,
Change In Inventory,-8469000000.0,-9560000000.0,-210959000000.0,-69097000000.0,
Change In Receivables,21712000000.0,7039000000.0,29718000000.0,-119162000000.0,
Other Non Cash Items,-90058000000.0,-79354000000.0,-13858000000.0,-16568000000.0,
Depreciation And Amortization,238357000000.0,227619000000.0,213632000000.0,168788000000.0,
Depreciation,238357000000.0,227619000000.0,213632000000.0,168788000000.0,
Gain Loss On Investment Securities,-10279000000.0,-18789000000.0,-58000000.0,-115000000.0,
Net Foreign Currency Exchange Gain Loss,7197000000.0,-11507000000.0,-1082000000.0,-8842000000.0,
Net Income From Continuing Operations,826229000000.0,795673000000.0,1020211000000.0,696137000000.0,
