,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,671371000000.0,569648000000.0,857494000000.0,621371000000.0
Repayment Of Debt,-1344562000000.0,-1204625000000.0,-217647000000.0,-1261549000000.0
Issuance Of Debt,1470993000000.0,860848000000.0,1041157000000.0,1206573000000.0
Capital Expenditure,-346147000000.0,-294771000000.0,-190043000000.0,-185525000000.0
End Cash Position,977356000000.0,898204000000.0,1390130000000.0,1127868000000.0
Beginning Cash Position,898204000000.0,1390130000000.0,1127868000000.0,1063150000000.0
Effect Of Exchange Rate Changes,-26776000000.0,84280000000.0,27751000000.0,53338000000.0
Changes In Cash,105928000000.0,-576206000000.0,234511000000.0,11380000000.0
Financing Cash Flow,-749602000000.0,-1013078000000.0,-634685000000.0,-614325000000.0
Net Other Financing Charges,-30119000000.0,-10522000000.0,-51934000000.0,-98076000000.0
Cash Dividends Paid,-274157000000.0,-242368000000.0,-198082000000.0,-148206000000.0
Common Stock Dividend Paid,-274157000000.0,-242368000000.0,-198082000000.0,-148206000000.0
Net Common Stock Issuance,-399758000000.0,-139259000000.0,-270246000000.0,-174915000000.0
Net Issuance Payments Of Debt,44498000000.0,-546945000000.0,-48969000000.0,-137498000000.0
Net Short Term Debt Issuance,-81933000000.0,-203168000000.0,168678000000.0,-82522000000.0
Net Long Term Debt Issuance,126431000000.0,-343777000000.0,-217647000000.0,-54976000000.0
Long Term Debt Payments,-1344562000000.0,-1204625000000.0,-217647000000.0,-1261549000000.0
Long Term Debt Issuance,1470993000000.0,860848000000.0,1041157000000.0,1206573000000.0
Investing Cash Flow,-161988000000.0,-427547000000.0,-178341000000.0,-181191000000.0
Net Investment Purchase And Sale,106540000000.0,23079000000.0,70914000000.0,-42967000000.0
Sale Of Investment,164034000000.0,115511000000.0,70914000000.0,63050000000.0
Purchase Of Investment,-57494000000.0,-92432000000.0,-100431000000.0,-106017000000.0
Net Investment Properties Purchase And Sale,107453000000.0,29092000000.0,48402000000.0,-4526000000.0
Sale Of Investment Properties,120124000000.0,37573000000.0,60705000000.0,21902000000.0
Purchase Of Investment Properties,-12671000000.0,-8481000000.0,-12303000000.0,-26428000000.0
Net Business Purchase And Sale,-81776000000.0,-259469000000.0,-103428000000.0,-27067000000.0
Sale Of Business,238559000000.0,296635000000.0,135185000000.0,65064000000.0
Purchase Of Business,-320335000000.0,-556104000000.0,-238613000000.0,-92131000000.0
Net PPE Purchase And Sale,-332836000000.0,-244264000000.0,-190043000000.0,-156636000000.0
Sale Of PPE,13311000000.0,50507000000.0,38022000000.0,28889000000.0
Purchase Of PPE,-346147000000.0,-294771000000.0,-228065000000.0,-185525000000.0
Operating Cash Flow,1017518000000.0,864419000000.0,1047537000000.0,806896000000.0
Taxes Refund Paid,-186114000000.0,-208003000000.0,-235451000000.0,-189989000000.0
Interest Received Cfo,97951000000.0,91893000000.0,84250000000.0,50824000000.0
Interest Paid Cfo,-199042000000.0,-157442000000.0,-96668000000.0,-49278000000.0
Dividend Received Cfo,636061000000.0,550836000000.0,574208000000.0,554764000000.0
Change In Working Capital,-51237000000.0,-200655000000.0,-235128000000.0,-303925000000.0
Change In Other Current Liabilities,-83596000000.0,-72903000000.0,,
Change In Other Current Assets,76129000000.0,-125936000000.0,-197336000000.0,-85478000000.0
Change In Payable,16669000000.0,30955000000.0,-295922000000.0,482318000000.0
Change In Prepaid Assets,-13286000000.0,-54308000000.0,,
Change In Inventory,5777000000.0,53915000000.0,53699000000.0,-291352000000.0
Change In Receivables,-101716000000.0,-37128000000.0,216139000000.0,-416102000000.0
Other Non Cash Items,-70747000000.0,-111350000000.0,-96029000000.0,-185382000000.0
Provisionand Write Offof Assets,10098000000.0,8967000000.0,18857000000.0,20238000000.0
Deferred Tax,213675000000.0,221914000000.0,240668000000.0,226810000000.0
Depreciation And Amortization,313730000000.0,293573000000.0,272689000000.0,296396000000.0
Depreciation,313730000000.0,293573000000.0,272689000000.0,296396000000.0
Gain Loss On Investment Securities,-116348000000.0,-198063000000.0,-59524000000.0,-8705000000.0
Gain Loss On Sale Of PPE,-57989000000.0,-16166000000.0,-19436000000.0,-14480000000.0
Net Income From Continuing Operations,921556000000.0,1080479000000.0,1154627000000.0,937670000000.0
