,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-780985500.0,-3894226200.0,795176500.0,662752500.0,
Tax Rate For Calcs,0.3819,0.1674,0.1565,0.2733,
Normalized EBITDA,50293000000.0,48942000000.0,60343000000.0,75542000000.0,
Total Unusual Items,-2045000000.0,-23263000000.0,5081000000.0,2425000000.0,
Total Unusual Items Excluding Goodwill,-2045000000.0,-23263000000.0,5081000000.0,2425000000.0,
Net Income From Continuing Operation Net Minority Interest,24414000000.0,14912000000.0,49264000000.0,51013000000.0,
Reconciled Depreciation,8463000000.0,7557000000.0,6921000000.0,7594000000.0,
Reconciled Cost Of Revenue,161840000000.0,188975000000.0,167377000000.0,169960000000.0,
EBITDA,48248000000.0,25679000000.0,65424000000.0,77967000000.0,
EBIT,39785000000.0,18122000000.0,58503000000.0,70373000000.0,
Net Interest Income,2138000000.0,1363000000.0,642000000.0,-49000000.0,
Interest Expense,243000000.0,187000000.0,72000000.0,150000000.0,
Interest Income,2381000000.0,1550000000.0,714000000.0,101000000.0,
Normalized Income,25678014500.0,34280773800.0,44978176500.0,49250752500.0,
Net Income From Continuing And Discontinued Operation,24414000000.0,14912000000.0,49264000000.0,51013000000.0,
Total Expenses,283919000000.0,323779000000.0,298931000000.0,306006000000.0,
Rent Expense Supplemental,5235000000.0,3174000000.0,3027000000.0,2991000000.0,
Total Operating Income As Reported,40580000000.0,32558000000.0,44331000000.0,59261000000.0,
Diluted Average Shares,360141614.0,359903459.0,359652496.0,359288649.0,
Basic Average Shares,360123906.0,359700892.0,359052000.0,358560000.0,
Diluted EPS,67.79,41.433333,136.976667,141.983333,
Basic EPS,67.793333,41.456667,137.206667,142.273333,
Diluted NI Availto Com Stockholders,24414000000.0,14912000000.0,49264000000.0,51013000000.0,
Net Income Common Stockholders,24414000000.0,14912000000.0,49264000000.0,51013000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,24414000000.0,14912000000.0,49264000000.0,51013000000.0,
Minority Interests,-26000000.0,-21000000.0,-22000000.0,-17000000.0,
Net Income Including Noncontrolling Interests,24440000000.0,14933000000.0,49287000000.0,51031000000.0,
Net Income Continuous Operations,24441000000.0,14934000000.0,49288000000.0,51032000000.0,
Tax Provision,15101000000.0,3001000000.0,9143000000.0,19191000000.0,
Pretax Income,39542000000.0,17935000000.0,58431000000.0,70223000000.0,
Other Non Operating Income Expenses,-1232000000.0,-2026000000.0,-1988000000.0,-1902000000.0,
Special Income Charges,-2028000000.0,-22246000000.0,4383000000.0,111000000.0,
Other Special Charges,1352000000.0,22241000000.0,-4456000000.0,-220000000.0,
Write Off,26000000.0,5000000.0,73000000.0,109000000.0,
Restructuring And Mergern Acquisition,650000000.0,0.0,,0.0,629000000.0
Net Non Operating Interest Income Expense,2138000000.0,1363000000.0,642000000.0,-49000000.0,
Interest Expense Non Operating,243000000.0,187000000.0,72000000.0,150000000.0,
Interest Income Non Operating,2381000000.0,1550000000.0,714000000.0,101000000.0,
Operating Income,40586000000.0,32565000000.0,44335000000.0,59268000000.0,
Operating Expense,122079000000.0,134804000000.0,131554000000.0,136046000000.0,
Other Operating Expenses,12206000000.0,12112000000.0,10353000000.0,10314000000.0,
Depreciation And Amortization In Income Statement,4015000000.0,3693000000.0,2874000000.0,3153000000.0,
Depreciation Income Statement,4015000000.0,3693000000.0,2874000000.0,3153000000.0,
Selling General And Administration,59708000000.0,77261000000.0,81387000000.0,83740000000.0,
Selling And Marketing Expense,14800000000.0,25444000000.0,25053000000.0,25350000000.0,
General And Administrative Expense,44908000000.0,51817000000.0,56334000000.0,58390000000.0,
Rent And Landing Fees,5235000000.0,3174000000.0,3027000000.0,2991000000.0,
Gross Profit,162665000000.0,167369000000.0,175889000000.0,195314000000.0,
Cost Of Revenue,161840000000.0,188975000000.0,167377000000.0,169960000000.0,
Total Revenue,324506000000.0,356344000000.0,343267000000.0,365275000000.0,
Operating Revenue,324506000000.0,356344000000.0,343267000000.0,365275000000.0,
