,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,-555283000000.0,138613000000.0,1496534000000.0,1230396000000.0
Repayment Of Debt,-11384934000000.0,-12181714000000.0,-11145286000000.0,-9801870000000.0
Issuance Of Debt,12798396000000.0,13675700000000.0,10098400000000.0,9490547000000.0
Capital Expenditure,-847435000000.0,-608665000000.0,-632488000000.0,-449226000000.0
End Cash Position,4528795000000.0,4954565000000.0,3803014000000.0,3674931000000.0
Beginning Cash Position,4954565000000.0,3803014000000.0,3674931000000.0,2758020000000.0
Effect Of Exchange Rate Changes,-56433000000.0,352894000000.0,145480000000.0,229063000000.0
Changes In Cash,-369337000000.0,798657000000.0,-17397000000.0,687848000000.0
Financing Cash Flow,280477000000.0,918646000000.0,-1468359000000.0,-615718000000.0
Cash Flow From Continuing Financing Activities,280477000000.0,918646000000.0,-1468359000000.0,-615718000000.0
Net Other Financing Charges,-63143000000.0,-83466000000.0,-51376000000.0,-53813000000.0
Cash Dividends Paid,-347805000000.0,-241865000000.0,-213475000000.0,-188402000000.0
Common Stock Dividend Paid,-347805000000.0,-241865000000.0,-213475000000.0,-188402000000.0
Net Common Stock Issuance,-722037000000.0,-250009000000.0,-156622000000.0,-62180000000.0
Net Issuance Payments Of Debt,1413462000000.0,1493986000000.0,-1046886000000.0,-311323000000.0
Net Short Term Debt Issuance,340693000000.0,-24382000000.0,442534000000.0,-472420000000.0
Short Term Debt Payments,-8648271000000.0,-10045118000000.0,-8684799000000.0,-7960144000000.0
Short Term Debt Issuance,8988964000000.0,10020736000000.0,9127333000000.0,7487724000000.0
Net Long Term Debt Issuance,1072769000000.0,1518368000000.0,-1489420000000.0,161097000000.0
Long Term Debt Payments,-2736663000000.0,-2136596000000.0,-2460487000000.0,-1841726000000.0
Long Term Debt Issuance,3809432000000.0,3654964000000.0,971067000000.0,2002823000000.0
Investing Cash Flow,-941966000000.0,-867267000000.0,-678060000000.0,-376056000000.0
Cash Flow From Continuing Investing Activities,-941966000000.0,-867267000000.0,-678060000000.0,-376056000000.0
Net Investment Purchase And Sale,28738000000.0,-80709000000.0,-38692000000.0,46062000000.0
Sale Of Investment,447960000000.0,201367000000.0,488642000000.0,534693000000.0
Purchase Of Investment,-419222000000.0,-282076000000.0,-527334000000.0,-488631000000.0
Net Business Purchase And Sale,-135527000000.0,-192311000000.0,-23086000000.0,0.0
Sale Of Business,21486000000.0,0.0,740000000.0,0.0
Purchase Of Business,-157013000000.0,-192311000000.0,-23826000000.0,0.0
Net Intangibles Purchase And Sale,-336632000000.0,-259985000000.0,-157440000000.0,-181083000000.0
Purchase Of Intangibles,-336632000000.0,-259985000000.0,-157440000000.0,-181083000000.0
Net PPE Purchase And Sale,-498545000000.0,-334262000000.0,-458842000000.0,-241035000000.0
Sale Of PPE,12258000000.0,14418000000.0,16206000000.0,27108000000.0
Purchase Of PPE,-510803000000.0,-348680000000.0,-475048000000.0,-268143000000.0
Operating Cash Flow,292152000000.0,747278000000.0,2129022000000.0,1679622000000.0
Cash Flow From Continuing Operating Activities,292152000000.0,747278000000.0,2129022000000.0,1679622000000.0
Taxes Refund Paid,-523178000000.0,-540663000000.0,-401342000000.0,-203130000000.0
Interest Received Cfo,737648000000.0,560709000000.0,324234000000.0,237724000000.0
Interest Paid Cfo,-439081000000.0,-283447000000.0,-159020000000.0,-97884000000.0
Dividend Received Cfo,126343000000.0,158092000000.0,244902000000.0,193555000000.0
Change In Working Capital,-1349336000000.0,-1131836000000.0,855842000000.0,302622000000.0
Change In Other Working Capital,69945000000.0,321918000000.0,309249000000.0,-127098000000.0
Change In Other Current Assets,-690110000000.0,12661000000.0,768070000000.0,171600000000.0
Change In Payables And Accrued Expense,185438000000.0,194098000000.0,147394000000.0,-18689000000.0
Change In Accrued Expense,72803000000.0,157582000000.0,42122000000.0,-68811000000.0
Change In Payable,112635000000.0,36516000000.0,105272000000.0,50122000000.0
Change In Account Payable,112635000000.0,36516000000.0,105272000000.0,50122000000.0
Change In Inventory,-79464000000.0,-67833000000.0,-171467000000.0,-208895000000.0
Change In Receivables,-835145000000.0,-1592680000000.0,-197404000000.0,485704000000.0
Changes In Account Receivables,69199000000.0,-138323000000.0,-155924000000.0,-24037000000.0
Other Non Cash Items,-319765000000.0,-341510000000.0,-219344000000.0,-232006000000.0
Depreciation Amortization Depletion,742863000000.0,794366000000.0,721630000000.0,611063000000.0
Depreciation And Amortization,742863000000.0,794366000000.0,721630000000.0,611063000000.0
Depreciation,742863000000.0,794366000000.0,721630000000.0,611063000000.0
Operating Gains Losses,-982000000.0,-110817000000.0,-117445000000.0,-202512000000.0
Earnings Losses From Equity Investments,-982000000.0,-110817000000.0,-117445000000.0,-202512000000.0
Net Income From Continuing Operations,1317640000000.0,1642384000000.0,879565000000.0,1070190000000.0
