,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,-650593000000.0,-372065000000.0,107527000000.0,1890377000000.0,
Repurchase Of Capital Stock,-237058000000.0,-8000000.0,-1055436000000.0,-602361000000.0,
Repayment Of Debt,-3809082000000.0,-5175486000000.0,-6294991000000.0,-8797688000000.0,
Issuance Of Debt,5313665000000.0,5181190000000.0,9176112000000.0,12880985000000.0,
Capital Expenditure,-854173000000.0,-622612000000.0,-633765000000.0,-835073000000.0,
End Cash Position,3713028000000.0,6186874000000.0,6925153000000.0,5169001000000.0,
Other Cash Adjustment Outside Changein Cash,33011000000.0,-33011000000.0,,,-1248000000.0
Beginning Cash Position,6186874000000.0,6925153000000.0,5169001000000.0,4662725000000.0,
Effect Of Exchange Rate Changes,37487000000.0,491868000000.0,275765000000.0,197264000000.0,
Changes In Cash,-2544344000000.0,-1197136000000.0,1480387000000.0,309012000000.0,
Financing Cash Flow,-1116384000000.0,-606222000000.0,191517000000.0,602216000000.0,
Net Other Financing Charges,-1343047000000.0,-250286000000.0,-935681000000.0,-989161000000.0,
Cash Dividends Paid,-64020000000.0,-64356000000.0,-70241000000.0,-75847000000.0,
Net Common Stock Issuance,-237058000000.0,-8000000.0,-1055436000000.0,-602361000000.0,
Common Stock Payments,-237058000000.0,-8000000.0,-1055436000000.0,-602361000000.0,
Net Issuance Payments Of Debt,1082860000000.0,207778000000.0,2807750000000.0,2909510000000.0,
Net Short Term Debt Issuance,-421723000000.0,202074000000.0,-73371000000.0,-1173787000000.0,
Short Term Debt Issuance,,,,,1575327000000.0
Net Long Term Debt Issuance,1504583000000.0,5704000000.0,2881121000000.0,4083297000000.0,
Long Term Debt Payments,-3809082000000.0,-5175486000000.0,-6294991000000.0,-8797688000000.0,
Long Term Debt Issuance,5313665000000.0,5181190000000.0,9176112000000.0,12880985000000.0,
Investing Cash Flow,-1631540000000.0,-841461000000.0,547578000000.0,-3018654000000.0,
Net Other Investing Changes,-223438000000.0,13947000000.0,437001000000.0,-59396000000.0,
Net Investment Purchase And Sale,-731637000000.0,-123346000000.0,658256000000.0,-2232485000000.0,
Sale Of Investment,1805962000000.0,1219642000000.0,1605565000000.0,3256978000000.0,
Purchase Of Investment,-2537599000000.0,-1342988000000.0,-947309000000.0,-5489463000000.0,
Net Business Purchase And Sale,94862000000.0,96755000000.0,6998000000.0,143079000000.0,
Sale Of Business,94862000000.0,96755000000.0,6998000000.0,143079000000.0,
Purchase Of Business,,,,,-13824000000.0
Net PPE Purchase And Sale,-854173000000.0,-622612000000.0,-633765000000.0,-835073000000.0,
Purchase Of PPE,-854173000000.0,-622612000000.0,-633765000000.0,-835073000000.0,
Operating Cash Flow,203580000000.0,250547000000.0,741292000000.0,2725450000000.0,
Taxes Refund Paid,-215161000000.0,-816778000000.0,-525891000000.0,-589336000000.0,
Interest Received Cfo,299714000000.0,256083000000.0,111740000000.0,37260000000.0,
Interest Paid Cfo,-482111000000.0,-430422000000.0,-418163000000.0,-381770000000.0,
Change In Working Capital,-589188000000.0,13807000000.0,-1015767000000.0,1080442000000.0,
Change In Other Current Liabilities,491898000000.0,390137000000.0,-1127949000000.0,-970559000000.0,
Change In Other Current Assets,-769572000000.0,-230986000000.0,208700000000.0,2173735000000.0,
Change In Payable,237030000000.0,325731000000.0,439566000000.0,295202000000.0,
Change In Inventory,-40000000000.0,5436000000.0,-18929000000.0,-11623000000.0,
Change In Receivables,-508544000000.0,-476511000000.0,-517155000000.0,-406313000000.0,
Other Non Cash Items,675533000000.0,764597000000.0,569054000000.0,557871000000.0,
Deferred Tax,101613000000.0,-151416000000.0,320674000000.0,592637000000.0,
Depreciation And Amortization,866823000000.0,858620000000.0,893488000000.0,852424000000.0,
Depreciation,866823000000.0,858620000000.0,893488000000.0,852424000000.0,
Gain Loss On Investment Securities,-2029696000000.0,-1156283000000.0,727011000000.0,1673395000000.0,
Net Foreign Currency Exchange Gain Loss,-27055000000.0,703122000000.0,772270000000.0,706111000000.0,
Net Income From Continuing Operations,1603108000000.0,209217000000.0,-789801000000.0,-1462199000000.0,
