,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.289,0.288,0.292233,0.29654
Normalized EBITDA,564968000000.0,508781000000.0,510438000000.0,426666000000.0
Net Income From Continuing Operation Net Minority Interest,398656000000.0,369642000000.0,362963000000.0,303360000000.0
Reconciled Depreciation,15193000000.0,13767000000.0,11523000000.0,8621000000.0
Reconciled Cost Of Revenue,171444000000.0,164782000000.0,167690000000.0,133984000000.0
EBITDA,564968000000.0,508781000000.0,510438000000.0,426666000000.0
EBIT,549775000000.0,495014000000.0,498915000000.0,418045000000.0
Net Interest Income,8968000000.0,5358000000.0,2033000000.0,561000000.0
Interest Income,8968000000.0,5358000000.0,2033000000.0,561000000.0
Normalized Income,398656000000.0,369642000000.0,362963000000.0,303360000000.0
Net Income From Continuing And Discontinued Operation,398656000000.0,369642000000.0,362963000000.0,303360000000.0
Total Expenses,509369000000.0,472273000000.0,423507000000.0,337129000000.0
Total Operating Income As Reported,549775000000.0,495014000000.0,498914000000.0,418045000000.0
Diluted Average Shares,242525414.0,242524965.0,242526077.0,242526325.0
Basic Average Shares,242525414.0,242524965.0,242526077.0,242526325.0
Diluted EPS,1643.77,1524.14,1496.6,1250.83
Basic EPS,1643.77,1524.14,1496.6,1250.83
Diluted NI Availto Com Stockholders,398656000000.0,369642000000.0,362963000000.0,303360000000.0
Net Income Common Stockholders,398656000000.0,369642000000.0,362963000000.0,303360000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,398656000000.0,369642000000.0,362963000000.0,303360000000.0
Net Income Including Noncontrolling Interests,398656000000.0,369642000000.0,362963000000.0,303360000000.0
Net Income Continuous Operations,398657000000.0,369642000000.0,362964000000.0,303360000000.0
Tax Provision,162353000000.0,149653000000.0,149866000000.0,127880000000.0
Pretax Income,561010000000.0,519295000000.0,512830000000.0,431240000000.0
Other Non Operating Income Expenses,1178000000.0,717000000.0,994000000.0,956000000.0
Net Non Operating Interest Income Expense,8968000000.0,5358000000.0,2033000000.0,561000000.0
Interest Income Non Operating,8968000000.0,5358000000.0,2033000000.0,561000000.0
Operating Income,549775000000.0,495014000000.0,498915000000.0,418045000000.0
Operating Expense,337925000000.0,307491000000.0,255817000000.0,203145000000.0
Gross Profit,887700000000.0,802505000000.0,754732000000.0,621190000000.0
Cost Of Revenue,171444000000.0,164782000000.0,167690000000.0,133984000000.0
Total Revenue,1059145000000.0,967288000000.0,922422000000.0,755174000000.0
Operating Revenue,1059145000000.0,967288000000.0,922422000000.0,755174000000.0
