,2025-09-30,2025-06-30,2024-12-31,2024-09-30,2024-06-30
Diluted Average Shares,5713610157.0,5792625652.0,5698969550.0,5874136321.0,5697785043.0
Basic Average Shares,5708624259.0,5784086936.0,5698969550.0,5863405905.0,5697785043.0
Diluted EPS,437.945,72.82,-64.8725,200.8125,-30.9175
Basic EPS,438.3275,72.9275,-64.7775,201.18,-30.5875
