,2025-03-31,2024-09-30
Treasury Shares Number,28142954.0,26745390.0
Ordinary Shares Number,360054741.0,371175805.0
Share Issued,388197695.0,397921195.0
Net Debt,38643000000.0,51474000000.0
Total Debt,110072000000.0,118296000000.0
Tangible Book Value,334320000000.0,357911000000.0
Invested Capital,476698000000.0,510167000000.0
Working Capital,32723000000.0,42857000000.0
Net Tangible Assets,334320000000.0,357911000000.0
Capital Lease Obligations,8039000000.0,7472000000.0
Common Stock Equity,374665000000.0,399343000000.0
Total Capitalization,441118000000.0,471185000000.0
Total Equity Gross Minority Interest,379272000000.0,406151000000.0
Minority Interest,4607000000.0,6808000000.0
Stockholders Equity,374665000000.0,399343000000.0
Treasury Stock,25477000000.0,21628000000.0
Retained Earnings,276857000000.0,275311000000.0
Additional Paid In Capital,19113000000.0,19335000000.0
Capital Stock,22393000000.0,22393000000.0
Common Stock,22393000000.0,22393000000.0
Total Liabilities Net Minority Interest,246786000000.0,254972000000.0
Total Non Current Liabilities Net Minority Interest,153628000000.0,166822000000.0
Other Non Current Liabilities,25400000000.0,25291000000.0
Non Current Pension And Other Postretirement Benefit Plans,7257000000.0,7766000000.0
Non Current Deferred Taxes Liabilities,46479000000.0,54451000000.0
Long Term Debt And Capital Lease Obligation,74492000000.0,79314000000.0
Long Term Capital Lease Obligation,8039000000.0,7472000000.0
Long Term Debt,66453000000.0,71842000000.0
Current Liabilities,93158000000.0,88150000000.0
Other Current Liabilities,23697000000.0,21187000000.0
Current Debt And Capital Lease Obligation,35580000000.0,38982000000.0
Current Debt,35580000000.0,38982000000.0
Payables,33881000000.0,27981000000.0
Total Tax Payable,11701000000.0,6938000000.0
Accounts Payable,22180000000.0,21043000000.0
Total Assets,626058000000.0,661123000000.0
Total Non Current Assets,500175000000.0,530113000000.0
Other Non Current Assets,9618000000.0,9204000000.0
Defined Pension Benefit,1456000000.0,1651000000.0
Non Current Deferred Taxes Assets,3182000000.0,3204000000.0
Investmentin Financial Assets,163716000000.0,194002000000.0
Available For Sale Securities,163716000000.0,194002000000.0
Goodwill And Other Intangible Assets,40345000000.0,41432000000.0
Other Intangible Assets,34511000000.0,35053000000.0
Goodwill,5834000000.0,6379000000.0
Net PPE,281711000000.0,280462000000.0
Gross PPE,281707000000.0,280460000000.0
Construction In Progress,1580000000.0,886000000.0
Other Properties,15453000000.0,15344000000.0
Machinery Furniture Equipment,5210000000.0,5089000000.0
Buildings And Improvements,132622000000.0,132719000000.0
Land And Improvements,126842000000.0,126422000000.0
Properties,0.0,0.0
Current Assets,125881000000.0,131007000000.0
Other Current Assets,8878000000.0,9288000000.0
Inventory,3970000000.0,10185000000.0
Finished Goods,3970000000.0,10185000000.0
Accounts Receivable,40679000000.0,41197000000.0
Gross Accounts Receivable,40679000000.0,41197000000.0
Cash Cash Equivalents And Short Term Investments,72354000000.0,70337000000.0
Other Short Term Investments,8964000000.0,10987000000.0
Cash And Cash Equivalents,63390000000.0,59350000000.0
