,2025-09-30,2025-06-30,2024-06-30
Diluted Average Shares,1114071606.0,1114065835.0,892361646.0
Basic Average Shares,1114071606.0,1114065835.0,892361646.0
Diluted EPS,209.080816,89.01,129.74
Basic EPS,209.080816,89.01,129.74
