,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,16947771000.0,21991079000.0,-2243134000.0,266500000.0,
Tax Rate For Calcs,0.213,0.227,0.206,0.205,
Normalized EBITDA,2588022000000.0,2357762000000.0,2316373000000.0,1966036000000.0,
Total Unusual Items,79567000000.0,96877000000.0,-10889000000.0,1300000000.0,
Total Unusual Items Excluding Goodwill,79567000000.0,96877000000.0,-10889000000.0,1300000000.0,
Net Income From Continuing Operation Net Minority Interest,1141600000000.0,970573000000.0,1005277000000.0,882178000000.0,
Reconciled Depreciation,1152987000000.0,1144981000000.0,1004590000000.0,835233000000.0,
Reconciled Cost Of Revenue,9294512000000.0,9695687000000.0,7739284000000.0,7219841000000.0,
EBITDA,2667589000000.0,2454639000000.0,2305484000000.0,1967336000000.0,
EBIT,1514602000000.0,1309658000000.0,1300894000000.0,1132103000000.0,
Net Interest Income,-10680000000.0,-5703000000.0,-12269000000.0,-19839000000.0,
Interest Expense,40876000000.0,40996000000.0,26398000000.0,14600000000.0,
Interest Income,50925000000.0,37580000000.0,22399000000.0,6996000000.0,
Normalized Income,1078980771000.0,895687079000.0,1013922866000.0,881144500000.0,
Net Income From Continuing And Discontinued Operation,1141600000000.0,970573000000.0,1005277000000.0,882178000000.0,
Total Expenses,11544424000000.0,11853782000000.0,9701168000000.0,8809117000000.0,
Total Operating Income As Reported,1407163000000.0,1208831000000.0,1302389000000.0,1202339000000.0,
Diluted Average Shares,6075064000.0,6176655000.0,6206885000.0,6256300000.0,
Basic Average Shares,6049652000.0,6156210000.0,6178505000.0,6196495000.0,
Diluted EPS,187.92,157.136,150.99,141.032,
Basic EPS,188.71,157.658,151.676,142.368,
Diluted NI Availto Com Stockholders,1141600000000.0,970573000000.0,1005328000000.0,882341000000.0,
Average Dilution Earnings,0.0,0.0,51000000.0,163000000.0,
Net Income Common Stockholders,1141600000000.0,970573000000.0,1005277000000.0,882178000000.0,
Net Income,1141600000000.0,970573000000.0,1005277000000.0,882178000000.0,
Minority Interests,-18287000000.0,-9921000000.0,-6496000000.0,-6228000000.0,
Net Income Including Noncontrolling Interests,1159887000000.0,980494000000.0,1011773000000.0,888406000000.0,
Net Income Continuous Operations,1159887000000.0,980494000000.0,1011773000000.0,888406000000.0,
Tax Provision,313839000000.0,288168000000.0,262723000000.0,229097000000.0,
Pretax Income,1473726000000.0,1268662000000.0,1274496000000.0,1117503000000.0,
Other Income Expense,71766000000.0,107379000000.0,13560000000.0,24946000000.0,
Other Non Operating Income Expenses,,,,69217000000.0,-8737000000.0
Special Income Charges,2324000000.0,31343000000.0,4735000000.0,66297000000.0,
Gain On Sale Of Ppe,-16102000000.0,4675000000.0,417000000.0,-8316000000.0,
Gain On Sale Of Business,18426000000.0,26668000000.0,4318000000.0,74613000000.0,
Restructuring And Mergern Acquisition,,,,,0.0
Earnings From Equity Interest,-7801000000.0,10502000000.0,24449000000.0,23646000000.0,
Gain On Sale Of Security,77243000000.0,65534000000.0,-15624000000.0,-64997000000.0,
Net Non Operating Interest Income Expense,-10680000000.0,-5703000000.0,-12269000000.0,-19839000000.0,
Total Other Finance Cost,20729000000.0,2287000000.0,8270000000.0,12235000000.0,
Interest Expense Non Operating,40876000000.0,40996000000.0,26398000000.0,14600000000.0,
Interest Income Non Operating,50925000000.0,37580000000.0,22399000000.0,6996000000.0,
Operating Income,1412640000000.0,1166986000000.0,1273205000000.0,1112396000000.0,
Operating Expense,2249912000000.0,2158095000000.0,1961884000000.0,1589276000000.0,
Other Operating Expenses,-6917000000.0,1939000000.0,-7286000000.0,803000000.0,
Selling General And Administration,2256829000000.0,2156156000000.0,1969170000000.0,1588473000000.0,
Gross Profit,3662552000000.0,3325081000000.0,3235089000000.0,2701672000000.0,
Cost Of Revenue,9294512000000.0,9695687000000.0,7739284000000.0,7219841000000.0,
Total Revenue,12957064000000.0,13020768000000.0,10974373000000.0,9921513000000.0,
Operating Revenue,12957064000000.0,13020768000000.0,10974373000000.0,9921513000000.0,
