,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,621214000000.0,685615000000.0,546528000000.0,506826000000.0,
Repurchase Of Capital Stock,0.0,-100000000000.0,0.0,0.0,
Repayment Of Debt,-1872502000000.0,-2064536000000.0,-2223935000000.0,-1905637000000.0,
Issuance Of Debt,1649994000000.0,1905910000000.0,2087121000000.0,2075450000000.0,
Issuance Of Capital Stock,221055000000.0,136233000000.0,0.0,,
Capital Expenditure,-746657000000.0,-554074000000.0,-609222000000.0,-709092000000.0,
End Cash Position,1435525000000.0,1992873000000.0,2059167000000.0,1546792000000.0,
Beginning Cash Position,1992873000000.0,2059167000000.0,1546792000000.0,1584892000000.0,
Effect Of Exchange Rate Changes,-6618000000.0,11733000000.0,6658000000.0,8747000000.0,
Changes In Cash,-550730000000.0,-78027000000.0,505717000000.0,-46847000000.0,
Other Cash Adjustment Inside Changein Cash,33011000000.0,-33011000000.0,0.0,,
Financing Cash Flow,-956429000000.0,-357098000000.0,-495260000000.0,-305072000000.0,
Net Other Financing Charges,-4028000000.0,36416000000.0,39775000000.0,9836000000.0,
Cash Dividends Paid,-408836000000.0,-406752000000.0,-405559000000.0,-403609000000.0,
Common Stock Dividend Paid,-408836000000.0,-406752000000.0,-405559000000.0,-403609000000.0,
Net Common Stock Issuance,221055000000.0,36233000000.0,0.0,0.0,
Common Stock Payments,0.0,-100000000000.0,0.0,0.0,
Common Stock Issuance,221055000000.0,136233000000.0,0.0,,
Net Issuance Payments Of Debt,-639711000000.0,22702000000.0,-82264000000.0,152899000000.0,
Net Short Term Debt Issuance,-417203000000.0,181328000000.0,54550000000.0,-16914000000.0,
Net Long Term Debt Issuance,-222508000000.0,-158626000000.0,-136814000000.0,169813000000.0,
Long Term Debt Payments,-1872502000000.0,-2064536000000.0,-2223935000000.0,-1905637000000.0,
Long Term Debt Issuance,1649994000000.0,1905910000000.0,2087121000000.0,2075450000000.0,
Investing Cash Flow,-995183000000.0,-927607000000.0,-154773000000.0,-957693000000.0,
Net Other Investing Changes,18766000000.0,-28064000000.0,75097000000.0,-16668000000.0,
Net Investment Purchase And Sale,-248158000000.0,-272889000000.0,-4779000000.0,-232676000000.0,
Sale Of Investment,183109000000.0,151187000000.0,226337000000.0,273046000000.0,
Purchase Of Investment,-431267000000.0,-424076000000.0,-231116000000.0,-505722000000.0,
Net Business Purchase And Sale,-22259000000.0,-74418000000.0,382455000000.0,-1298000000.0,
Sale Of Business,,,382455000000.0,,
Purchase Of Business,-22259000000.0,-74418000000.0,,-1298000000.0,
Net PPE Purchase And Sale,-743532000000.0,-552236000000.0,-607546000000.0,-707051000000.0,
Sale Of PPE,3125000000.0,1838000000.0,1676000000.0,2041000000.0,
Purchase Of PPE,-746657000000.0,-554074000000.0,-609222000000.0,-709092000000.0,
Capital Expenditure Reported,,,,,-479522000000.0
Operating Cash Flow,1367871000000.0,1239689000000.0,1155750000000.0,1215918000000.0,
Taxes Refund Paid,-187605000000.0,-281182000000.0,-265662000000.0,-357488000000.0,
Interest Received Cfo,11789000000.0,6543000000.0,7253000000.0,7105000000.0,
Interest Paid Cfo,-78451000000.0,-62922000000.0,-61362000000.0,-63394000000.0,
Change In Working Capital,-117149000000.0,5864000000.0,-29911000000.0,18244000000.0,
Change In Other Current Liabilities,,,,-86768000000.0,-142751000000.0
Change In Other Current Assets,-194654000000.0,-135185000000.0,-229913000000.0,-86768000000.0,
Change In Payable,285177000000.0,292551000000.0,280885000000.0,50197000000.0,
Change In Prepaid Assets,152810000000.0,170895000000.0,66055000000.0,240628000000.0,
Change In Inventory,-39375000000.0,2744000000.0,-21331000000.0,-16537000000.0,
Change In Receivables,-321107000000.0,-325141000000.0,-125607000000.0,-169276000000.0,
Other Non Cash Items,178612000000.0,34131000000.0,123972000000.0,-30094000000.0,
Deferred Tax,224771000000.0,215647000000.0,208743000000.0,282578000000.0,
Depreciation And Amortization,748014000000.0,743808000000.0,764210000000.0,745310000000.0,
Depreciation,748014000000.0,743808000000.0,764210000000.0,745310000000.0,
Gain Loss On Sale Of PPE,21978000000.0,25321000000.0,30927000000.0,19179000000.0,
Gain Loss On Sale Of Business,-46908000000.0,-15511000000.0,-319848000000.0,-31814000000.0,
Net Income From Continuing Operations,655286000000.0,590265000000.0,654125000000.0,575433000000.0,
