,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,1318932000000.0,1051401000000.0,982833000000.0,1073190000000.0,
Repurchase Of Capital Stock,-269038000000.0,-62917000000.0,-111691000000.0,-93736000000.0,
Repayment Of Debt,-38945000000.0,-182406000000.0,-23395000000.0,-65055000000.0,
Issuance Of Debt,75919000000.0,45483000000.0,25564000000.0,44505000000.0,
Issuance Of Capital Stock,12834000000.0,11218000000.0,11091000000.0,6794000000.0,
Capital Expenditure,-26148000000.0,-20723000000.0,-24877000000.0,-29050000000.0,
End Cash Position,1469794000000.0,1086981000000.0,985382000000.0,912216000000.0,
Other Cash Adjustment Outside Changein Cash,1000000.0,,2000000.0,-4297000000.0,2748000000.0
Beginning Cash Position,1086981000000.0,985382000000.0,912216000000.0,924687000000.0,
Effect Of Exchange Rate Changes,61550000000.0,63326000000.0,56615000000.0,59659000000.0,
Changes In Cash,321262000000.0,38273000000.0,16549000000.0,-67833000000.0,
Financing Cash Flow,-1188437000000.0,-406204000000.0,-1009226000000.0,-504629000000.0,
Net Other Financing Charges,-686915000000.0,2455000000.0,-718080000000.0,-244885000000.0,
Cash Dividends Paid,-281243000000.0,-219142000000.0,-192008000000.0,-151571000000.0,
Common Stock Dividend Paid,-281243000000.0,-219142000000.0,-192008000000.0,-151571000000.0,
Net Common Stock Issuance,-256204000000.0,-51699000000.0,-100600000000.0,-86942000000.0,
Common Stock Payments,-269038000000.0,-62917000000.0,-111691000000.0,-93736000000.0,
Common Stock Issuance,12834000000.0,11218000000.0,11091000000.0,6794000000.0,
Net Issuance Payments Of Debt,36974000000.0,-136923000000.0,2169000000.0,-20550000000.0,
Net Short Term Debt Issuance,-1000000.0,-1000000.0,-1000000.0,-1000000.0,
Short Term Debt Payments,-3000000000.0,-5000000000.0,-10000000000.0,-10000000000.0,
Short Term Debt Issuance,2999000000.0,4999000000.0,9999000000.0,9999000000.0,
Net Long Term Debt Issuance,36975000000.0,-136922000000.0,2170000000.0,-20549000000.0,
Long Term Debt Payments,-35945000000.0,-177406000000.0,-13395000000.0,-55055000000.0,
Long Term Debt Issuance,72920000000.0,40484000000.0,15565000000.0,34506000000.0,
Investing Cash Flow,164619000000.0,-627647000000.0,18065000000.0,-665444000000.0,
Net Other Investing Changes,-735383000000.0,-423600000000.0,-304612000000.0,-219110000000.0,
Net Investment Purchase And Sale,1167662000000.0,-6918000000.0,631459000000.0,-208746000000.0,
Sale Of Investment,4543102000000.0,2253080000000.0,2647425000000.0,2046983000000.0,
Purchase Of Investment,-3375440000000.0,-2259998000000.0,-2015966000000.0,-2255729000000.0,
Net Business Purchase And Sale,-62671000000.0,-2383000000.0,317000000.0,0.0,
Sale Of Business,,0.0,26428000000.0,0.0,262000000.0
Purchase Of Business,-62671000000.0,-2383000000.0,-26111000000.0,0.0,
Net PPE Purchase And Sale,-12108000000.0,-5385000000.0,-6079000000.0,-23810000000.0,
Sale Of PPE,14040000000.0,15338000000.0,18798000000.0,5240000000.0,
Purchase Of PPE,-26148000000.0,-20723000000.0,-24877000000.0,-29050000000.0,
Operating Cash Flow,1345080000000.0,1072124000000.0,1007710000000.0,1102240000000.0,
Taxes Refund Paid,-190509000000.0,-143508000000.0,-225446000000.0,-223279000000.0,
Interest Received Cfo,982908000000.0,847889000000.0,665382000000.0,552023000000.0,
Interest Paid Cfo,-26736000000.0,-27358000000.0,-12829000000.0,-8788000000.0,
Change In Working Capital,445864000000.0,538393000000.0,430811000000.0,775423000000.0,
Change In Other Current Liabilities,23446000000.0,29954000000.0,-140087000000.0,68425000000.0,
Change In Other Current Assets,-85524000000.0,-306666000000.0,-88391000000.0,-68773000000.0,
Other Non Cash Items,-844456000000.0,-879795000000.0,-627553000000.0,-564790000000.0,
Provisionand Write Offof Assets,2566000000.0,8702000000.0,3740000000.0,764000000.0,
Depreciation And Amortization,236858000000.0,212320000000.0,193206000000.0,161906000000.0,
Amortization Cash Flow,89893000000.0,84404000000.0,80692000000.0,72152000000.0,
Depreciation,146965000000.0,127916000000.0,112514000000.0,89754000000.0,
Gain Loss On Investment Securities,-689963000000.0,-260510000000.0,-22581000000.0,-118255000000.0,
Net Foreign Currency Exchange Gain Loss,-22639000000.0,-45216000000.0,-22448000000.0,-26178000000.0,
Gain Loss On Sale Of PPE,-395000000.0,2178000000.0,-3270000000.0,-601000000.0,
Net Income From Continuing Operations,1450272000000.0,821861000000.0,519662000000.0,554272000000.0,
